ID,Name,URL,Type,Feature Type,Output Format,Version,Visible
1119,DK5 Hamburg,https://geodienste.hamburg.de/HH_WMS_DK5,WMS,,,1.3.0,Yes
1132,100 Jahre Stadtgruen Icons,https://geodienste.hamburg.de/HH_WFS_Stadtgruen,WFS,poi,XML,1.1.0,Yes
1133,100 Jahre Stadtgruen Strecke,https://geodienste.hamburg.de/HH_WFS_Stadtgruen,WFS,strecken,XML,1.1.0,Yes
1134,100 Jahre Stadtgruen Umring,https://geodienste.hamburg.de/HH_WFS_Stadtgruen,WFS,umring,XML,1.1.0,Yes
1173,Baugenehmigungen in Hamburg,https://geodienste.hamburg.de/HH_WMS_Baugenehmigungen,WMS,,,1.3.0,Yes
1205,StÃ¤dtebauliche Erhaltungsverordnung Hamburg,https://geodienste.hamburg.de/HH_WMS_Erhaltungsverordnung,WMS,,,1.3.0,Yes
1396,StÃ¤dtebauliche Erhaltungsverordnung Hamburg,https://geodienste.hamburg.de/HH_WFS_Erhaltungsverordnung,WFS,erhaltungsverordnung,XML,1.1.0,Yes
1408,Bodenformengesellschaften,https://geodienste.hamburg.de/HH_WFS_Bodenformen,WFS,bodenformen,XML,1.1.0,Yes
1409,alle AuBS - FlÃ¤chen,https://geodienste.hamburg.de/HH_WMS_AuBS,WMS,,,1.3.0,Yes
1410,AuBS - Symbole,https://geodienste.hamburg.de/HH_WMS_AuBS,WMS,,,1.3.0,Yes
1411,FlÃ¤chen mit KlÃ¤rungsbedarf,https://geodienste.hamburg.de/HH_WMS_AuBS,WMS,,,1.3.0,Yes
