ID;Name;URL;Type;Feature Type;Output Format;Version;Visible;description
3342;Beobachtungen;https://geodienste.hamburg.de/HH_WMS_Artenkataster;WMS;;;1.3.0;Yes;Beobachtungen, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
3345;Bundeslaender;https://geodienste.hamburg.de/HH_WFS_DOG_HK;WFS;Bundeslaender;XML;1.1.0;Yes;Bundeslaender, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Bundeslaender) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3346;Gemeinden;https://geodienste.hamburg.de/HH_WFS_DOG_HK;WFS;Gemeinden;XML;1.1.0;Yes;Gemeinden, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Gemeinden) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3347;Hauskoordinaten;https://geodienste.hamburg.de/HH_WFS_DOG_HK;WFS;Hauskoordinaten;XML;1.1.0;Yes;Hauskoordinaten, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Hauskoordinaten) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3348;Kreise;https://geodienste.hamburg.de/HH_WFS_DOG_HK;WFS;Kreise;XML;1.1.0;Yes;Kreise, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Kreise) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3349;Ortsteile;https://geodienste.hamburg.de/HH_WFS_DOG_HK;WFS;Ortsteile;XML;1.1.0;Yes;Ortsteile, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Ortsteile) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3350;Postleitzahlgebiete;https://geodienste.hamburg.de/HH_WFS_DOG_HK;WFS;Postleitzahlgebiete;XML;1.1.0;Yes;Postleitzahlgebiete, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Postleitzahlgebiete) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3351;Regierungsbezirke;https://geodienste.hamburg.de/HH_WFS_DOG_HK;WFS;Regierungsbezirke;XML;1.1.0;Yes;Regierungsbezirke, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Regierungsbezirke) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3352;Strassen;https://geodienste.hamburg.de/HH_WFS_DOG_HK;WFS;Strassen;XML;1.1.0;Yes;Strassen, bereitgestellt ?ber den WFS-Dienst (Feature-Type: Strassen) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
3353;SI_Gazetteer;https://geodienste.hamburg.de/HH_WFS_DOG_HK;WFS;SI_Gazetteer;XML;1.1.0;Yes;SI_Gazetteer, bereitgestellt ?ber den WFS-Dienst (Feature-Type: SI_Gazetteer) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
